Username,Platform,Followers,Engagement Rate,Location,Industry,Contact Email,Campaign ROI,Ad Cost (USD)
Sara_Al-Qasimi_9393,Snapchat,838937,0.5779566861942647,Oman,Fashion,sara.al-qasimi.9393@example.com,15,2224.6240459660635
Ahmed_Al-Thani_2270,Snapchat,651340,6.621085383682678,Qatar,Beauty,ahmed.al-thani.2270@example.com,12,6785.19458324839
Hassan_Al-Maktoum_8882,Snapchat,481886,1.3522459775832771,Qatar,Sports,hassan.al-maktoum.8882@example.com,11,26312.188621401005
Yousef_Al-Hashimi_8887,Snapchat,536153,1.4238937817560329,Qatar,Entertainment,yousef.al-hashimi.8887@example.com,29,18609.463450595937
Aisha_Al-Hassan_3752,Snapchat,994096,8.621805632102927,Kuwait,Sports,aisha.al-hassan.3752@example.com,24,32665.709647230407
Hassan_Al-Jaber_6789,Snapchat,617587,9.051905080731864,Kuwait,Entertainment,hassan.al-jaber.6789@example.com,22,38270.35483260186
Ahmed_Al-Thani_9158,Snapchat,193618,2.5205019246341833,Oman,Entertainment,ahmed.al-thani.9158@example.com,13,36223.652107682254
Hassan_Al-Sharif_9141,Snapchat,100792,3.95800792359573,Oman,Entertainment,hassan.al-sharif.9141@example.com,14,49342.66918527654
Sara_Al-Qasimi_1169,Snapchat,692658,6.796642795226197,Qatar,Travel,sara.al-qasimi.1169@example.com,12,37373.6345345798
Ahmed_Al-Mubarak_5359,Snapchat,837494,1.0329162564597998,UAE,Sports,ahmed.al-mubarak.5359@example.com,24,39317.61138145862
Aisha_Al-Qasimi_7920,Snapchat,878652,3.7744479392136663,Kuwait,Travel,aisha.al-qasimi.7920@example.com,26,10966.562320222052
Hassan_Al-Mutawa_8340,Snapchat,421038,3.665814211909638,Qatar,Lifestyle,hassan.al-mutawa.8340@example.com,21,4157.635001004959
Aisha_Al-Hassan_9632,Snapchat,860587,1.1886197577694229,Saudi Arabia,Travel,aisha.al-hassan.9632@example.com,15,39623.159633682975
Aisha_Al-Sharif_7153,Snapchat,251964,2.1425718564210916,Kuwait,Sports,aisha.al-sharif.7153@example.com,27,15418.135576859971
Reem_Al-Qasimi_9502,Snapchat,696390,3.3803757434112867,Saudi Arabia,Lifestyle,reem.al-qasimi.9502@example.com,20,40190.052033501175
Ali_Al-Mubarak_6994,Snapchat,561852,6.432908466487454,Oman,Food,ali.al-mubarak.6994@example.com,27,49606.9197670044
Mariam_Al-Sabah_3910,Snapchat,706297,8.300378702060879,Saudi Arabia,Fashion,mariam.al-sabah.3910@example.com,24,18003.121303953394
Noor_Al-Thani_6269,Snapchat,613115,9.922628706431583,Kuwait,Fashion,noor.al-thani.6269@example.com,25,34225.575446381816
Sara_Al-Jaber_6881,Snapchat,135043,0.43198386749883566,Qatar,Tech,sara.al-jaber.6881@example.com,16,22115.73926067957
Mariam_Al-Hashimi_6411,Snapchat,633864,7.508138537162438,Bahrain,Travel,mariam.al-hashimi.6411@example.com,11,11295.43383756742
Ali_Al-Jaber_5294,Snapchat,601185,7.880392548179384,Saudi Arabia,Fashion,ali.al-jaber.5294@example.com,20,26716.18320885508
Fatima_Al-Mutawa_6353,Snapchat,696025,3.8931708772863987,Bahrain,Beauty,fatima.al-mutawa.6353@example.com,12,10442.219650376615
Yousef_Al-Mubarak_2162,Snapchat,887277,8.909225151251132,Kuwait,Lifestyle,yousef.al-mubarak.2162@example.com,17,43369.42804796853
Mariam_Al-Zahrani_1031,Snapchat,19638,9.80978585770929,Saudi Arabia,Sports,mariam.al-zahrani.1031@example.com,12,2433.4718234869742
Yousef_Al-Khalifa_9131,Snapchat,493286,7.503076155646857,UAE,Travel,yousef.al-khalifa.9131@example.com,19,16915.204001237835
Mariam_Al-Qasimi_8125,Snapchat,430230,4.92357928842861,UAE,Tech,mariam.al-qasimi.8125@example.com,13,36722.76573778658
Reem_Al-Mutawa_7497,Snapchat,409157,9.419686276389742,UAE,Food,reem.al-mutawa.7497@example.com,16,49919.49589852381
Ahmed_Al-Zahrani_9664,Snapchat,240542,5.284239673868888,Qatar,Entertainment,ahmed.al-zahrani.9664@example.com,17,13701.861396701875
Fatima_Al-Salem_472,Snapchat,589248,9.33954455896456,Kuwait,Entertainment,fatima.al-salem.472@example.com,18,19533.843265493404
Reem_Al-Mubarak_6016,Snapchat,773232,2.1097775977947597,Saudi Arabia,Travel,reem.al-mubarak.6016@example.com,10,10829.916427748214
Noor_Al-Mubarak_915,Snapchat,959855,2.06482598460423,Kuwait,Fashion,noor.al-mubarak.915@example.com,21,49261.08761124925
Abdullah_Al-Saud_5849,Snapchat,405080,4.895523905814474,Kuwait,Sports,abdullah.al-saud.5849@example.com,24,41130.63415005552
Mariam_Al-Said_4239,Snapchat,582276,7.783564599965566,Saudi Arabia,Entertainment,mariam.al-said.4239@example.com,21,15229.097780721886
Reem_Al-Sharif_6012,Snapchat,301041,7.876905268140104,Oman,Travel,reem.al-sharif.6012@example.com,10,7038.488300865289
Reem_Al-Mutawa_9295,Snapchat,986226,3.692987994639877,Oman,Entertainment,reem.al-mutawa.9295@example.com,18,28544.816200199373
Noor_Al-Mubarak_2455,Snapchat,418892,2.0909138688886313,UAE,Lifestyle,noor.al-mubarak.2455@example.com,15,2658.4378751973436
Abdullah_Al-Hashimi_4203,Snapchat,487413,7.0766641458032575,Kuwait,Sports,abdullah.al-hashimi.4203@example.com,13,10605.865746820999
Sara_Al-Khalifa_2502,Snapchat,579871,2.4351052043769204,Saudi Arabia,Food,sara.al-khalifa.2502@example.com,19,36930.87739895962
Abdullah_Al-Saud_3000,Snapchat,645108,0.2375936502284623,UAE,Lifestyle,abdullah.al-saud.3000@example.com,19,3436.35841946226
Hassan_Al-Mutawa_7982,Snapchat,960188,2.134294989939611,Kuwait,Sports,hassan.al-mutawa.7982@example.com,18,33589.23829312999
Omar_Al-Maktoum_8860,Snapchat,343473,3.5983940826704663,UAE,Lifestyle,omar.al-maktoum.8860@example.com,10,13410.294229810404
Mariam_Al-Thani_9373,Snapchat,331534,8.041774282199716,Kuwait,Sports,mariam.al-thani.9373@example.com,29,1048.8195892335225
Mohammed_Al-Salem_6516,Snapchat,572235,1.478045522809848,Bahrain,Tech,mohammed.al-salem.6516@example.com,14,32456.06766660541
Noor_Al-Mutawa_1884,Snapchat,946784,3.655046455391782,Kuwait,Sports,noor.al-mutawa.1884@example.com,23,9423.450492468644
Ahmed_Al-Sharif_9084,Snapchat,969311,0.28257244053231145,Bahrain,Fashion,ahmed.al-sharif.9084@example.com,28,35260.568141110634
Aisha_Al-Saud_7557,Snapchat,732484,0.22173432154032563,Qatar,Food,aisha.al-saud.7557@example.com,28,34692.382814952565
Sara_Al-Saud_7530,Snapchat,491778,7.66612952023441,Bahrain,Tech,sara.al-saud.7530@example.com,27,38455.02442138427
Ali_Al-Qasimi_7058,Snapchat,201801,0.5070192563000736,Oman,Beauty,ali.al-qasimi.7058@example.com,21,26409.044760946606
Omar_Al-Hashimi_7291,Snapchat,973068,7.570075684161858,Oman,Fashion,omar.al-hashimi.7291@example.com,28,42577.790177154595
Yousef_Al-Qasimi_6744,Snapchat,942214,4.237425861117209,Kuwait,Fashion,yousef.al-qasimi.6744@example.com,12,17124.684070048574
Noor_Al-Maktoum_9514,Snapchat,623795,9.740092558841186,UAE,Fashion,noor.al-maktoum.9514@example.com,20,8908.243450217542
Sara_Al-Zahrani_5266,Snapchat,485124,0.47263292133998347,UAE,Beauty,sara.al-zahrani.5266@example.com,16,31604.833727314075
Abdullah_Al-Mubarak_2966,Snapchat,409288,0.4209603478904187,Oman,Food,abdullah.al-mubarak.2966@example.com,13,36587.67165325777
Ahmed_Al-Hashimi_212,Snapchat,676672,5.7183160426073245,Kuwait,Travel,ahmed.al-hashimi.212@example.com,11,21591.458543295023
Omar_Al-Maktoum_3860,Snapchat,568249,6.31747471558624,Bahrain,Sports,omar.al-maktoum.3860@example.com,12,36204.74549356654
Abdullah_Al-Hashimi_6023,Snapchat,471162,9.63127149740809,Qatar,Sports,abdullah.al-hashimi.6023@example.com,29,34176.96487640318
Reem_Al-Said_341,Snapchat,884749,2.3587368074642723,Saudi Arabia,Food,reem.al-said.341@example.com,21,2496.2140008562856
Ali_Al-Jaber_8406,Snapchat,907296,2.7384074178310174,Saudi Arabia,Beauty,ali.al-jaber.8406@example.com,19,42933.199083091284
Mohammed_Al-Qasimi_1569,Snapchat,638975,7.144695333295446,UAE,Travel,mohammed.al-qasimi.1569@example.com,11,36605.04336342823
Layla_Al-Mubarak_3207,Snapchat,327640,8.236606419464994,Bahrain,Sports,layla.al-mubarak.3207@example.com,26,8096.962245586482
Reem_Al-Maktoum_6017,Snapchat,854863,4.58093574913482,Oman,Beauty,reem.al-maktoum.6017@example.com,21,19492.100591952705
Yousef_Al-Salem_4771,Snapchat,864960,9.469045591148157,Saudi Arabia,Tech,yousef.al-salem.4771@example.com,25,38062.36188883873
Yousef_Al-Salem_9219,Snapchat,811154,0.2426813182116715,Oman,Entertainment,yousef.al-salem.9219@example.com,27,19077.224516827177
Sara_Al-Khalifa_8232,Snapchat,744095,3.6033426088032177,Qatar,Food,sara.al-khalifa.8232@example.com,24,12876.764112903349
Noor_Al-Qasimi_1244,Snapchat,532279,0.20276466429648637,Qatar,Travel,noor.al-qasimi.1244@example.com,25,9132.000211559847
Mohammed_Al-Thani_7858,Snapchat,491726,4.440323187853794,Oman,Tech,mohammed.al-thani.7858@example.com,16,44981.9376396775
Hassan_Al-Maktoum_9486,Snapchat,274788,8.492426018713877,Saudi Arabia,Entertainment,hassan.al-maktoum.9486@example.com,25,5309.989514117294
Fatima_Al-Jaber_5877,Snapchat,60120,3.849335109602491,Oman,Food,fatima.al-jaber.5877@example.com,13,1005.8203857103621
Sara_Al-Sharif_2444,Snapchat,941509,0.20967510918635412,Saudi Arabia,Lifestyle,sara.al-sharif.2444@example.com,10,47533.2930710356
Ali_Al-Hashimi_8441,Snapchat,601019,1.120079410535376,UAE,Fashion,ali.al-hashimi.8441@example.com,15,28856.234131835296
Mohammed_Al-Khalifa_5978,Snapchat,13049,1.2680019648006433,Kuwait,Sports,mohammed.al-khalifa.5978@example.com,28,37450.730530376706
Abdullah_Al-Salem_6083,Snapchat,989000,1.3549701493266084,Qatar,Fashion,abdullah.al-salem.6083@example.com,12,49749.10268387882
Mohammed_Al-Thani_6377,Snapchat,427051,4.4458281497229795,Bahrain,Tech,mohammed.al-thani.6377@example.com,27,27617.326082102405
Mariam_Al-Saud_933,Snapchat,863323,5.255207137858957,Oman,Fashion,mariam.al-saud.933@example.com,18,13636.875243178023
Fatima_Al-Khalifa_8108,Snapchat,722277,9.672115633893725,Oman,Sports,fatima.al-khalifa.8108@example.com,23,32766.681955973607
Mohammed_Al-Sabah_9032,Snapchat,58090,6.586852156989565,Kuwait,Tech,mohammed.al-sabah.9032@example.com,10,8748.627703748407
Noor_Al-Mutawa_9082,Snapchat,912032,6.40158821649619,UAE,Entertainment,noor.al-mutawa.9082@example.com,24,6720.632659000744
Khaled_Al-Mubarak_2078,Snapchat,807133,5.329067076336638,Bahrain,Food,khaled.al-mubarak.2078@example.com,24,6338.178817689677
Abdullah_Al-Salem_5326,Snapchat,470581,9.222315995454279,Oman,Travel,abdullah.al-salem.5326@example.com,16,35328.82732993699
Yousef_Al-Mubarak_5448,Snapchat,725714,3.212995786640117,Qatar,Beauty,yousef.al-mubarak.5448@example.com,22,38853.447156485956
Reem_Al-Jaber_8009,Snapchat,493595,3.584773801703496,Bahrain,Sports,reem.al-jaber.8009@example.com,24,9720.806933324831
Reem_Al-Hashimi_8138,Snapchat,965250,9.52810905831685,UAE,Travel,reem.al-hashimi.8138@example.com,11,21381.35651136256
Aisha_Al-Salem_6067,Snapchat,65589,7.430439403402733,Bahrain,Lifestyle,aisha.al-salem.6067@example.com,14,49801.93484089432
Omar_Al-Jaber_163,Snapchat,196106,2.3306448364857695,Kuwait,Fashion,omar.al-jaber.163@example.com,13,48258.16519073878
Layla_Al-Zahrani_4924,Snapchat,945925,6.106065035925167,Oman,Fashion,layla.al-zahrani.4924@example.com,22,8092.76625846257
Khaled_Al-Thani_5369,Snapchat,144942,6.250034421718189,Qatar,Food,khaled.al-thani.5369@example.com,25,13919.979564349362
Fatima_Al-Saud_8030,Snapchat,320633,9.200238153956084,Qatar,Tech,fatima.al-saud.8030@example.com,12,19760.55282780492
Omar_Al-Hashimi_6251,Snapchat,99510,8.48736361287717,Oman,Beauty,omar.al-hashimi.6251@example.com,15,45246.492060921955
Sara_Al-Saud_3121,Snapchat,709772,7.932458549414247,Saudi Arabia,Lifestyle,sara.al-saud.3121@example.com,28,30756.15763903404
Fatima_Al-Hassan_676,Snapchat,247765,5.645645544947878,UAE,Beauty,fatima.al-hassan.676@example.com,22,43006.20373553926
Hassan_Al-Sabah_5542,Snapchat,580380,0.27339508321089884,Oman,Lifestyle,hassan.al-sabah.5542@example.com,13,30685.978452587173
Hassan_Al-Saud_8820,Snapchat,135799,6.394128232014146,UAE,Lifestyle,hassan.al-saud.8820@example.com,11,11388.320497387309
Aisha_Al-Sharif_7267,Snapchat,56583,2.5022481658075226,Bahrain,Fashion,aisha.al-sharif.7267@example.com,15,7137.865341921644
Yousef_Al-Mutawa_2079,Snapchat,816240,6.142224969043645,Saudi Arabia,Lifestyle,yousef.al-mutawa.2079@example.com,27,1365.6819758995389
Omar_Al-Jaber_1042,Snapchat,113185,9.259997078870365,Saudi Arabia,Travel,omar.al-jaber.1042@example.com,17,2892.4243606814175
Hassan_Al-Saud_2535,Snapchat,525900,4.047979849635902,Bahrain,Entertainment,hassan.al-saud.2535@example.com,19,7474.3336699283145
Reem_Al-Hashimi_6283,Snapchat,899816,9.212606198803106,Bahrain,Beauty,reem.al-hashimi.6283@example.com,15,37924.6629249819
Yousef_Al-Saud_9150,Snapchat,270750,7.732169051895042,Bahrain,Entertainment,yousef.al-saud.9150@example.com,15,38668.152083277964
Noor_Al-Hassan_1937,Snapchat,359501,7.913924751736814,Kuwait,Fashion,noor.al-hassan.1937@example.com,27,10733.603790917805
Ali_Al-Qasimi_5528,Snapchat,246983,8.486414895373146,Kuwait,Entertainment,ali.al-qasimi.5528@example.com,13,39045.7112020637
Noor_Al-Qasimi_3674,Snapchat,53019,1.2544796667343188,Kuwait,Sports,noor.al-qasimi.3674@example.com,17,21926.801557774917
Omar_Al-Thani_5899,Snapchat,643180,1.1605089918907041,Saudi Arabia,Lifestyle,omar.al-thani.5899@example.com,28,32971.37790466657
Ali_Al-Jaber_3883,Snapchat,869175,7.399654186391252,UAE,Food,ali.al-jaber.3883@example.com,15,29049.129232401516
Layla_Al-Salem_7389,Snapchat,926817,5.242486116551675,Kuwait,Lifestyle,layla.al-salem.7389@example.com,16,26404.559645250847
Mariam_Al-Qasimi_8210,Snapchat,60742,5.581280173741426,Kuwait,Tech,mariam.al-qasimi.8210@example.com,25,32854.88796458322
Ali_Al-Hassan_5586,Snapchat,392083,4.728057376837561,Bahrain,Fashion,ali.al-hassan.5586@example.com,29,31296.427947854398
Layla_Al-Said_2797,Snapchat,72383,7.503033037589509,Bahrain,Lifestyle,layla.al-said.2797@example.com,15,14113.853822032437
Yousef_Al-Maktoum_7737,Snapchat,943919,1.548473509480903,Kuwait,Travel,yousef.al-maktoum.7737@example.com,16,22152.70764230885
Noor_Al-Zahrani_5148,Snapchat,679233,6.76246306296391,UAE,Beauty,noor.al-zahrani.5148@example.com,14,4941.321573770831
Hassan_Al-Mutawa_1938,Snapchat,26592,2.7268564761359446,Saudi Arabia,Entertainment,hassan.al-mutawa.1938@example.com,27,4857.180203802347
Aisha_Al-Mutawa_718,Snapchat,936145,3.6184606550183376,Bahrain,Sports,aisha.al-mutawa.718@example.com,10,8053.454423606476
Aisha_Al-Qasimi_2029,Snapchat,139087,9.138259947322846,Saudi Arabia,Sports,aisha.al-qasimi.2029@example.com,24,31731.997205334137
Fatima_Al-Hashimi_9996,Snapchat,59873,0.12833055181445557,Bahrain,Travel,fatima.al-hashimi.9996@example.com,17,23093.5417790614
Mariam_Al-Salem_2034,Snapchat,449006,5.161914853436407,UAE,Beauty,mariam.al-salem.2034@example.com,24,16432.174926512726
Aisha_Al-Khalifa_8223,Snapchat,226454,6.015431449723197,UAE,Travel,aisha.al-khalifa.8223@example.com,22,42311.17144856171
Ahmed_Al-Mubarak_3539,Snapchat,615074,5.307693723684085,Kuwait,Fashion,ahmed.al-mubarak.3539@example.com,23,4232.059431165926
Fatima_Al-Hashimi_5089,Snapchat,480977,5.766963921621104,Saudi Arabia,Lifestyle,fatima.al-hashimi.5089@example.com,17,44995.456518592975
Ali_Al-Hashimi_698,Snapchat,938730,7.886605495411212,Bahrain,Tech,ali.al-hashimi.698@example.com,10,33809.0427389015
Abdullah_Al-Sabah_2439,Snapchat,769922,6.276979710360266,UAE,Fashion,abdullah.al-sabah.2439@example.com,20,32426.439948025723
Sara_Al-Zahrani_4512,Snapchat,91064,0.9012987201330065,Oman,Travel,sara.al-zahrani.4512@example.com,26,6433.7341492773985
Abdullah_Al-Mubarak_8399,Snapchat,344706,3.7571326329619392,UAE,Lifestyle,abdullah.al-mubarak.8399@example.com,26,1004.2985702106903
Hassan_Al-Jaber_8543,Snapchat,713555,4.355553751602478,Saudi Arabia,Entertainment,hassan.al-jaber.8543@example.com,11,37390.11432707772
Abdullah_Al-Sharif_8061,Snapchat,342270,9.000216139222836,UAE,Tech,abdullah.al-sharif.8061@example.com,12,41845.09982755054
Khaled_Al-Jaber_5800,Snapchat,205511,9.301154390167465,Qatar,Sports,khaled.al-jaber.5800@example.com,21,33703.252684340725
Mohammed_Al-Hashimi_5929,Snapchat,10544,5.3522006193134155,Oman,Tech,mohammed.al-hashimi.5929@example.com,20,14105.344624598274
Mariam_Al-Mutawa_8796,Snapchat,619792,8.752488706542115,Kuwait,Sports,mariam.al-mutawa.8796@example.com,23,49239.74968237193
Yousef_Al-Khalifa_2934,Snapchat,336180,6.464648987509346,UAE,Lifestyle,yousef.al-khalifa.2934@example.com,23,26731.944885050074
Fatima_Al-Sharif_858,Snapchat,76960,1.766911363738566,Kuwait,Tech,fatima.al-sharif.858@example.com,26,1818.4274670499985
Abdullah_Al-Zahrani_4014,Snapchat,447542,2.573424573864206,Saudi Arabia,Entertainment,abdullah.al-zahrani.4014@example.com,14,16066.886178238981
Abdullah_Al-Sharif_9071,Snapchat,84153,5.365885329198923,Kuwait,Food,abdullah.al-sharif.9071@example.com,25,31254.121832976165
Mariam_Al-Sabah_2282,Snapchat,505508,6.909806083978488,Bahrain,Sports,mariam.al-sabah.2282@example.com,25,48448.48321094275
Fatima_Al-Khalifa_7240,Snapchat,481266,6.045694279856051,Saudi Arabia,Entertainment,fatima.al-khalifa.7240@example.com,23,11553.439134438495
Mariam_Al-Hashimi_6798,Snapchat,871331,3.2028734555868317,Kuwait,Fashion,mariam.al-hashimi.6798@example.com,19,12529.75117988071
Reem_Al-Mubarak_6480,Snapchat,614177,6.552812067875544,UAE,Entertainment,reem.al-mubarak.6480@example.com,15,8042.5040027485575
Fatima_Al-Salem_5949,Snapchat,326446,1.2817690160818944,Saudi Arabia,Tech,fatima.al-salem.5949@example.com,26,49662.56905669969
Sara_Al-Hassan_6550,Snapchat,909892,6.628793748391787,Kuwait,Beauty,sara.al-hassan.6550@example.com,19,40726.38157302142
Aisha_Al-Zahrani_6099,Snapchat,626729,3.9147734721931653,Oman,Tech,aisha.al-zahrani.6099@example.com,26,22761.630524806613
Ahmed_Al-Hashimi_329,Snapchat,32386,3.989078327702914,UAE,Fashion,ahmed.al-hashimi.329@example.com,29,24239.821880111256
Yousef_Al-Qasimi_9862,Snapchat,253214,5.392898546297187,Kuwait,Lifestyle,yousef.al-qasimi.9862@example.com,13,33350.38659670323
Reem_Al-Zahrani_7835,Snapchat,41130,8.981282742505119,UAE,Fashion,reem.al-zahrani.7835@example.com,22,7597.6949343179585
Ali_Al-Hashimi_1108,Snapchat,746652,2.113076685477488,Oman,Travel,ali.al-hashimi.1108@example.com,22,33351.595171889225
Noor_Al-Thani_6522,Snapchat,703629,8.85891104441478,Saudi Arabia,Beauty,noor.al-thani.6522@example.com,18,14191.932651961375
Ahmed_Al-Hassan_6736,Snapchat,370199,2.5699474461578324,Bahrain,Sports,ahmed.al-hassan.6736@example.com,29,14719.000450830801
Abdullah_Al-Zahrani_1187,Snapchat,365402,9.628809650460983,UAE,Entertainment,abdullah.al-zahrani.1187@example.com,29,26105.188343374564
Hassan_Al-Said_6379,Snapchat,158056,4.349764775243335,Saudi Arabia,Travel,hassan.al-said.6379@example.com,23,14738.684452325275
Layla_Al-Hassan_3875,Snapchat,607343,6.795686302587578,Qatar,Food,layla.al-hassan.3875@example.com,14,47545.456256583966
Abdullah_Al-Khalifa_1992,Snapchat,986315,8.316581824271287,Bahrain,Travel,abdullah.al-khalifa.1992@example.com,26,33124.1784170007
Mohammed_Al-Jaber_8029,Snapchat,281752,8.137890710253902,Bahrain,Entertainment,mohammed.al-jaber.8029@example.com,28,31465.7237376472
Ali_Al-Salem_8913,Snapchat,849880,7.144648848798547,Bahrain,Tech,ali.al-salem.8913@example.com,23,33264.55875736984
Ali_Al-Salem_5048,Snapchat,919412,1.253203544536538,Qatar,Sports,ali.al-salem.5048@example.com,26,26388.866439850015
Khaled_Al-Mutawa_1796,Snapchat,237394,0.902654150186469,Kuwait,Lifestyle,khaled.al-mutawa.1796@example.com,16,30128.105794753534
Reem_Al-Saud_7637,Snapchat,535140,2.227378714087796,Bahrain,Lifestyle,reem.al-saud.7637@example.com,11,30679.14062049906
Noor_Al-Mubarak_1891,Snapchat,543629,0.520565982267204,UAE,Travel,noor.al-mubarak.1891@example.com,10,5615.685163338005
Khaled_Al-Salem_9504,Snapchat,558488,4.26284562098366,Kuwait,Food,khaled.al-salem.9504@example.com,10,18712.109362808078
Ahmed_Al-Mubarak_7451,Snapchat,839133,1.5110025710184025,Bahrain,Entertainment,ahmed.al-mubarak.7451@example.com,18,16240.995339188446
Layla_Al-Sabah_3829,Snapchat,579529,8.20075871431431,Qatar,Fashion,layla.al-sabah.3829@example.com,26,29140.28600829891
Mohammed_Al-Maktoum_825,Snapchat,343899,3.623950061753542,Oman,Travel,mohammed.al-maktoum.825@example.com,21,25963.07330007168
Yousef_Al-Qasimi_4570,Snapchat,180523,2.5699724018003742,Oman,Lifestyle,yousef.al-qasimi.4570@example.com,18,18291.96107119471
Noor_Al-Mubarak_8650,Snapchat,265429,6.947103462340184,Oman,Beauty,noor.al-mubarak.8650@example.com,11,40721.61991708291
Reem_Al-Said_7364,Snapchat,995790,9.876254475575255,Saudi Arabia,Lifestyle,reem.al-said.7364@example.com,21,40276.136051571455
Ahmed_Al-Sabah_1925,Snapchat,546271,6.859312248907457,UAE,Entertainment,ahmed.al-sabah.1925@example.com,10,48828.54450915721
Fatima_Al-Salem_3517,Snapchat,790681,4.417414599701806,Qatar,Beauty,fatima.al-salem.3517@example.com,13,29514.561857844838
Mohammed_Al-Hashimi_7198,Snapchat,89979,6.927474140827719,UAE,Food,mohammed.al-hashimi.7198@example.com,13,12792.388643067252
Sara_Al-Mutawa_326,Snapchat,873251,2.7486813554908855,Saudi Arabia,Sports,sara.al-mutawa.326@example.com,14,34516.70854597067
Aisha_Al-Jaber_9162,Snapchat,10778,7.199077915881716,Saudi Arabia,Lifestyle,aisha.al-jaber.9162@example.com,11,41931.32340860608
Ali_Al-Thani_3141,Snapchat,370109,0.15829558530891324,Kuwait,Beauty,ali.al-thani.3141@example.com,19,5446.346999610105
Hassan_Al-Mubarak_6515,Snapchat,464021,5.262887098137832,Qatar,Lifestyle,hassan.al-mubarak.6515@example.com,21,8572.390038148667
Mariam_Al-Saud_8402,Snapchat,834516,8.369366751443872,Oman,Entertainment,mariam.al-saud.8402@example.com,20,41374.34675421199
Sara_Al-Salem_4340,Snapchat,156160,2.4838853356770723,UAE,Entertainment,sara.al-salem.4340@example.com,13,30841.7239331802
Hassan_Al-Zahrani_3503,Snapchat,878950,6.869709536358602,Qatar,Travel,hassan.al-zahrani.3503@example.com,11,30593.734335368663
Ali_Al-Sabah_8963,Snapchat,560079,9.169769663892684,Bahrain,Fashion,ali.al-sabah.8963@example.com,10,47841.192757679135
Reem_Al-Saud_9815,Snapchat,144494,1.6290270843294616,Saudi Arabia,Fashion,reem.al-saud.9815@example.com,21,44157.799782314425
Layla_Al-Said_5381,Snapchat,7141,3.7800913346690974,Bahrain,Sports,layla.al-said.5381@example.com,27,27313.312096536334
Yousef_Al-Mutawa_8240,Snapchat,271088,4.235294626872548,UAE,Tech,yousef.al-mutawa.8240@example.com,17,42147.69038388846
Khaled_Al-Mutawa_6807,Snapchat,246805,6.8321657558759625,Bahrain,Lifestyle,khaled.al-mutawa.6807@example.com,25,2410.8335825069394
Mohammed_Al-Said_7972,Snapchat,773416,4.623969359856496,UAE,Entertainment,mohammed.al-said.7972@example.com,17,10354.101502067759
Ali_Al-Qasimi_2836,Snapchat,576160,2.9584734267570947,Kuwait,Food,ali.al-qasimi.2836@example.com,16,2180.935634246287
Abdullah_Al-Mubarak_3822,Snapchat,302211,4.567255015691936,Oman,Beauty,abdullah.al-mubarak.3822@example.com,10,47293.05347049083
Fatima_Al-Salem_354,Snapchat,471692,4.573594738160683,Qatar,Fashion,fatima.al-salem.354@example.com,23,38805.97250700965
Layla_Al-Maktoum_3997,Snapchat,143854,9.653568237613346,Saudi Arabia,Travel,layla.al-maktoum.3997@example.com,17,30232.550634002317
Mariam_Al-Zahrani_7131,Snapchat,548917,1.7291567196466737,Qatar,Fashion,mariam.al-zahrani.7131@example.com,25,2486.541648241329
Noor_Al-Thani_6351,Snapchat,976416,1.1531333507675674,Oman,Travel,noor.al-thani.6351@example.com,27,2728.071159305822
Aisha_Al-Qasimi_1212,Snapchat,371815,6.298770836367335,Qatar,Travel,aisha.al-qasimi.1212@example.com,20,22040.76891077267
Khaled_Al-Sabah_7992,Snapchat,158489,5.104731322606268,Qatar,Sports,khaled.al-sabah.7992@example.com,26,7030.70587381364
Omar_Al-Thani_7689,Snapchat,439735,4.742242494442411,UAE,Entertainment,omar.al-thani.7689@example.com,27,41272.112556272725
Layla_Al-Saud_969,Snapchat,243531,1.9980198114745669,Saudi Arabia,Food,layla.al-saud.969@example.com,15,36862.59350036001
Reem_Al-Zahrani_8864,Snapchat,193726,3.7075397968491854,Kuwait,Sports,reem.al-zahrani.8864@example.com,21,47292.16331376144
Abdullah_Al-Hashimi_8841,Snapchat,138955,0.9682174504383954,UAE,Beauty,abdullah.al-hashimi.8841@example.com,29,12470.155707385973
Abdullah_Al-Jaber_9350,Snapchat,451028,8.030560622073976,Qatar,Entertainment,abdullah.al-jaber.9350@example.com,23,31057.002056578527
Layla_Al-Maktoum_762,Snapchat,473801,1.550199297837466,Oman,Sports,layla.al-maktoum.762@example.com,20,14179.084980309632
Khaled_Al-Sharif_8915,Snapchat,95125,1.6830775714332553,Bahrain,Entertainment,khaled.al-sharif.8915@example.com,20,38662.087547479176
Ali_Al-Zahrani_7167,Snapchat,580081,6.399263925713507,Saudi Arabia,Food,ali.al-zahrani.7167@example.com,20,44417.67208177959
Noor_Al-Mubarak_8045,Snapchat,967348,4.206783892578879,Oman,Beauty,noor.al-mubarak.8045@example.com,29,40471.574025397706
Fatima_Al-Qasimi_2447,Snapchat,716083,6.267304898107127,Oman,Beauty,fatima.al-qasimi.2447@example.com,21,3045.7870143305063
Mohammed_Al-Sabah_8513,Snapchat,518084,0.11969329545449889,Qatar,Sports,mohammed.al-sabah.8513@example.com,25,29768.8381026436
Abdullah_Al-Salem_4342,Snapchat,69524,1.396332174338239,Kuwait,Fashion,abdullah.al-salem.4342@example.com,21,41095.58334503959
